,importance,stddev,p_value,n,p99_high,p99_low
recurrence,0.1077419354838709,0.03607304752369833,0.0013064662269059264,5,0.18201683891766735,0.03346703205007445
year_of_initial_diagnosis,0.02917562724014333,0.010976903662848633,0.002009999293646326,5,0.05177722359888038,0.006574030881406283
progress_1,0.02677419354838706,0.02421829346514944,0.03439748008370132,5,0.07663999452551776,-0.02309160742874363
RDW,0.011756272401433666,0.006457335176366447,0.007605208217980978,5,0.025052014779428977,-0.0015394699765616474
text_embedding_746,0.006487455197132541,0.0013962402280130724,0.0002423076672468358,5,0.009362333124702233,0.0036125772695628487
text_embedding_084,0.005770609318996378,0.0019851260223724813,0.0014449389173480814,5,0.009858011236418739,0.001683207401574018
text_embedding_161,0.005770609318996334,0.0018161471053989944,0.0010366053008999767,5,0.009510081310833453,0.0020311373271592157
text_embedding_745,0.005161290322580547,0.0007100936471741737,4.193036710944797e-05,5,0.006623382956649374,0.0036991976885117203
hpv_association_p16,0.0048387096774193065,0.0038058710719705248,0.02336528371247001,5,0.012675050817334969,-0.002997631462496356
text_embedding_736,0.004623655913978397,0.0018511772772210552,0.0025204401404258807,5,0.008435255513765567,0.000812056314191228
image_embedding_547,0.004050179211469463,0.002300617424499107,0.008504579542217977,5,0.00878718228642512,-0.0006868238634861962
text_embedding_072,0.004014336917562633,0.0006776942796125022,9.38719611599338e-05,5,0.00540971880601513,0.0026189550291101362
text_embedding_214,0.004014336917562566,0.001803725826535663,0.0038079862145307506,5,0.007728233324539767,0.00030044051058536556
text_embedding_640,0.003942652329749085,0.0007496953642778094,0.00014959406880184084,5,0.0054862854466881964,0.002399019212809974
text_embedding_497,0.003942652329749041,0.0020472508349097056,0.006291478368323518,5,0.008157970094841704,-0.0002726654353436232
text_embedding_658,0.003906810035842212,0.0012115013463193816,0.000980525931054588,5,0.006401308052641903,0.001412312019042522
text_embedding_380,0.003870967741935427,0.001957429020919482,0.005746534497291228,5,0.00790134115055282,-0.0001594056666819649
text_embedding_734,0.0034408602150536984,0.0005723555348627841,8.857721980579656e-05,5,0.00461934817213035,0.002262372257977047
text_embedding_629,0.0031899641577060487,0.0029998522593083984,0.03808667248143518,5,0.009366701421986506,-0.002986773106574409
text_embedding_249,0.003046594982078865,0.00035842293906807043,2.2570080028974806e-05,5,0.0037845927675514987,0.002308597196606231
Erythrocytes,0.0029390681003583553,0.0026779974713287183,0.03506920050842639,5,0.008453101907682736,-0.0025749657069660246
image_embedding_261,0.0028673835125447413,0.0026671820907055504,0.037020896298139684,5,0.008359148301681572,-0.00262438127659209
image_embedding_670,0.0027240143369174907,0.0012947951159991578,0.00463945235557244,5,0.00539001537673008,5.801329710490143e-05
image_embedding_115,0.0026164874551970695,0.0010495735099890326,0.002537966841018811,5,0.0047775738189120304,0.000455401091482109
text_embedding_426,0.002580645161290285,0.0031055853343629237,0.06835017045984243,5,0.00897508828849441,-0.0038137979659138405
image_embedding_301,0.0025448028673835223,0.0022253995091434937,0.03141863067008279,5,0.007126931214999902,-0.0020373254802328574
image_embedding_406,0.002508960573476715,0.0033335260282686178,0.08383535352619706,5,0.009372736739907859,-0.004354815592954428
image_embedding_008,0.002508960573476626,0.0022419347675980104,0.03329795326102446,5,0.007125135246792416,-0.002107214099839163
image_embedding_477,0.0024731182795698636,0.001441510935640867,0.009259052202997515,5,0.005441209219852859,-0.000494972660713132
text_embedding_420,0.002114695340501771,0.0015385072423895678,0.01858300337107613,5,0.0052825030170117705,-0.0010531123360082283
text_embedding_403,0.0020430107526881124,0.0018606949609200397,0.035027429199475116,5,0.0058742073947598596,-0.0017881858893836343
text_embedding_486,0.002043010752688046,0.00048420272710058675,0.00035185326827350606,5,0.003039990860181049,0.0010460306451950429
split_id,0.001935483870967758,0.0011291744804317833,0.00928695582089257,5,0.0042604697330266735,-0.00038950199109115706
